composer_label,title,mxl_path,chord_event_count,chord_quality_total,chord_quality_major_pct,chord_quality_minor_pct,chord_quality_diminished_pct,chord_quality_augmented_pct,chord_quality_other_pct,harmonic_density_mean,dissonance_ratio,dissonant_note_count,passing_tone_ratio,appoggiatura_ratio,other_dissonance_ratio,roman_chord_count,deceptive_cadence_ratio,modal_interchange_ratio
Mozart,Wolfgang Amadeus Mozart - Morgen kommt der Weihnachtsmann,/Users/victor/JuFo2026/15571083/mxl/3/40/QmdrhvsqisvZxSr1wEKJqZpYZYs1JpopTHz1Wp5WLoJ6BS.mxl,1202,1202,24.292845257903494,20.133111480865225,1.6638935108153077,0.24958402662229617,53.660565723793674,2.203826955074875,0.39600665557404324,286,0.16083916083916083,0.027972027972027972,0.8111888111888111,1118,0.0035810205908683975,0.023255813953488372
Mozart,Thème du 1er mouvement de la sonate K.331,/Users/victor/JuFo2026/15571083/mxl/4/42/QmeswnMFsq7kKrfJU2KHcucQ55D1psa3djU7BiYUptXPPR.mxl,36,36,25.0,33.33333333333333,0.0,0.0,41.66666666666667,1.8333333333333333,0.05555555555555555,16,0.125,0.3125,0.5625,30,0.0,0.0
Mozart,W.A. Mozart - Contredanse in A K. 15l,/Users/victor/JuFo2026/15571083/mxl/1/2/Qmb3nWh89rZ5qR7paUjp7MEF6Z4CL65Vchtm7k3S2EYr6G.mxl,96,96,15.625,27.083333333333332,0.0,0.0,57.291666666666664,1.7916666666666667,0.21875,4,0.0,0.0,1.0,82,0.024691358024691357,0.2073170731707317
Mozart,W.A. Mozart - Rondo in F K. 15hh,/Users/victor/JuFo2026/15571083/mxl/2/31/QmcmB7Rvh3DyQJ63EmKEnjxqUzC8toMRd3zk6CrT6mkJyB.mxl,227,227,18.94273127753304,16.740088105726873,2.2026431718061676,0.0,62.11453744493392,1.7709251101321586,0.29955947136563876,81,0.08641975308641975,0.012345679012345678,0.9012345679012346,219,0.04128440366972477,0.0365296803652968
Mozart,Wolfgang Amadeus Mozart - Komm lieber Mai,/Users/victor/JuFo2026/15571083/mxl/7/52/QmPxLJ7CnzLzmnumP9FTcybCHjESQSSgKefE9pjVTzup6W.mxl,119,119,21.008403361344538,18.487394957983195,1.680672268907563,0.0,58.82352941176471,1.8907563025210083,0.31932773109243695,24,0.16666666666666666,0.125,0.7083333333333334,113,0.008928571428571428,0.0
Mozart,Sonate in C KV 330-1.Allegro moderato,/Users/victor/JuFo2026/15571083/mxl/7/42/QmPsb5NL3M1BRGhViY3B6G5kVxEFZQCjH55fKqWdB7Zhr8.mxl,1511,1511,22.17074784910655,15.552614162806089,0.5294506949040371,0.0,61.74718729318332,1.8881535407015222,0.31369953673064194,484,0.2128099173553719,0.01859504132231405,0.768595041322314,1426,0.018947368421052633,0.010518934081346423
Mozart,KV 80 Piano,/Users/victor/JuFo2026/15571083/mxl/3/6/Qmd7Yxc9yCJrsVqgsRTPyfLjapnTvQ6XnXpKMGUDB8ZD7R.mxl,486,486,48.971193415637856,21.604938271604937,4.320987654320987,0.0,25.102880658436217,2.5534979423868314,0.3868312757201646,90,0.28888888888888886,0.05555555555555555,0.6555555555555556,400,0.022556390977443608,0.0025
Mozart,W.A. Mozart - Minore in A minor K. 15k,/Users/victor/JuFo2026/15571083/mxl/4/12/QmeBuVqPpzPMfzif2cCpt7MZXo2YaYcUot4zrmNTn8F4JF.mxl,86,86,24.418604651162788,31.3953488372093,2.3255813953488373,0.0,41.86046511627907,1.9186046511627908,0.2441860465116279,18,0.2222222222222222,0.0,0.7777777777777778,78,0.025974025974025976,0.038461538461538464
Mozart,Wolfgang Amadeus Mozart - Polonaise,/Users/victor/JuFo2026/15571083/mxl/13/3/QmV46nwkLq5hTefpZx1xYyNGKVc5b3C9j6JcGYjeYkfmTS.mxl,138,138,29.71014492753623,19.565217391304348,5.797101449275362,0.0,44.927536231884055,2.253623188405797,0.463768115942029,43,0.023255813953488372,0.06976744186046512,0.9069767441860465,127,0.007936507936507936,0.0
Mozart,W. A. Mozart Minuet in G Major K1e.,/Users/victor/JuFo2026/15571083/mxl/10/43/QmSSZAHjALT7zf8hpZpLFXaBHB9ytuBETs4QbhvYDFSAaa.mxl,138,138,31.88405797101449,36.95652173913043,0.0,0.0,31.15942028985507,1.963768115942029,0.14492753623188406,62,0.08064516129032258,0.03225806451612903,0.8870967741935484,117,0.0,0.06837606837606838
